# netlist of hardware/synthseqr_v3.kicad_pcb
# sha256:034a75fff1ca493f  generated 2026-09-02T20:02:22Z
# 202 components, 117 nets

## components

A: 1
  A1       Adafruit Feather M4 Express     89.35     25.11  PCM_synthseqr:Adafruit_Feather_SMDheader
  U2       CD74HC4067                  173.95    135.95  Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm
  U3       CD74HC4067                  217.85     37.45  Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm
  U4       H11L1                       116.91     52.20  Package_DIP:SMDIP-6_W9.53mm
  U5       74AHCT125                    49.84    188.65  Package_SO:TSSOP-14_4.4x5mm_P0.65mm
cydRX: 1
  cydRX1   TestPoint                    62.87     46.90  TestPoint:TestPoint_Pad_D1.5mm
cydTX: 1
  cydTX1   TestPoint                    62.87     50.41  TestPoint:TestPoint_Pad_D1.5mm
gnd_test: 1
  gnd_test1 TestPoint                    29.71     62.81  TestPoint:TestPoint_Pad_D1.5mm
leddata: 1
  leddata1 TestPoint                    62.40     58.22  TestPoint:TestPoint_Pad_D1.5mm
midirx: 1
  midirx1  TestPoint                    94.54     58.16  TestPoint:TestPoint_Pad_D1.5mm
miditx: 1
  miditx1  TestPoint                    94.35     61.89  TestPoint:TestPoint_Pad_D1.5mm
mux_s: 4
  mux_s0   TestPoint                    92.39     66.64  TestPoint:TestPoint_Pad_D1.5mm
  mux_s1   TestPoint                    58.71     52.01  TestPoint:TestPoint_Pad_D1.5mm
  mux_s2   TestPoint                    58.68     54.90  TestPoint:TestPoint_Pad_D1.5mm
  mux_s3   TestPoint                    62.82     43.23  TestPoint:TestPoint_Pad_D1.5mm

## nets

+5V  (7)
    C1.1 C7.1 D1.1 D2.1 D4.1 J1.1 NetTie_1.2
/+5V_CYD  (3)
    C2.1 D2.2 J5.1
/+5V_FTHR  (3)
    A1.19 C3.1 D1.2
/BTN0  (3)
    RN1.2 SW1.1 U2.9
/BTN1  (3)
    RN1.3 SW2.1 U2.8
/BTN10  (3)
    RN2.4 SW11.1 U2.21
/BTN11  (3)
    RN2.5 SW12.1 U2.20
/BTN12  (3)
    RN2.6 SW13.1 U2.19
/BTN13  (3)
    RN2.7 SW14.1 U2.18
